orb_id,Tier_manual,Type,Intensity_auto,Stage_calc,relationship_context,Prompt Text,Tier_from_intensity,Tier_mismatch_flag,stage_v2,focus_type,target_style,target_method,interaction_level,energy_type,cooldown_group,memory_hook,target_gender,min_players,max_players,escalation_weight
ORB0031,explore,dare,2.1,1,requires_partner,Whisper something kind to your partner.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0032,explore,dare,2.1,1,requires_partner,Give your partner a playful compliment.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0033,explore,dare,2.1,1,requires_partner,Rest your head on your partner’s shoulder for a moment.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0034,explore,dare,2.1,1,requires_partner,Give your partner a quick cheek kiss.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0035,explore,truth,2.0,1,group,What kind of personality do you usually feel drawn to?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0036,explore,truth,2.0,1,group,Do you prefer deep conversations or light ones at parties?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0037,explore,truth,2.0,1,group,What makes someone instantly likable to you?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0038,explore,truth,2.0,1,group,What’s a small romantic gesture you appreciate?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0039,explore,truth,2.1,1,group,Do you believe in love at first sight?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0040,explore,truth,2.1,1,group,What’s your idea of a perfect relaxed evening?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0041,explore,dare,2.0,1,group,Give the group your most charming smile.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0042,explore,dare,2.0,1,group,Say hello to everyone like you're hosting a fancy party.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0043,explore,dare,2.0,1,group,Describe the room dramatically like a storyteller.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0044,explore,dare,2.1,1,group,Do a confident model turn and pose.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0045,explore,dare,2.1,1,group,Say one nice thing about the person to your right.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0046,explore,dare,2.1,1,group,Give the room a mini motivational speech.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0047,explore,truth,4.2,6,,Have you ever been cheated on?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0048,explore,truth,4.2,6,,Have you ever cheated on a partner?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0049,explore,truth,4.2,6,,What’s your worst habit?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0050,explore,truth,4.2,6,,What's your best habit?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0051,explore,truth,4.2,6,,What’s the biggest misconception about you?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0052,explore,truth,4.2,6,,What’s the best piece of advice you’ve been given?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0053,explore,truth,4.2,6,,What’s your biggest red flag?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0054,explore,truth,4.2,6,,What’s your biggest wish in life?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0055,explore,truth,4.2,6,,What’s something you would do if you knew there were no consequences?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0056,explore,truth,4.2,6,,Have you ever broken the law?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0057,explore,truth,4.2,6,,What’s your favorite possession?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0058,explore,truth,4.2,6,,What's one item you would save in a fire?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0059,explore,truth,4.2,6,,Have you ever ghosted a date?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0060,explore,truth,4.2,6,,What’s your strangest dealbreaker?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0061,explore,truth,4.2,6,,What’s one thing in your life you wish you could change?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0062,explore,truth,4.2,6,,Have you ever lied to your boss?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0063,explore,truth,4.2,6,,How long was your longest relationship?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0064,explore,truth,4.7,8,,What secretly scares you?,1,True,flirty,single,none,none,0,cognitive,truth,,any,2,99,2
ORB0065,explore,truth,4.2,6,,Who would you want to help you bury a body?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0066,explore,truth,4.2,6,,What do you do when you need alone time?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0067,explore,truth,4.2,6,,What would you change about society?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0068,explore,truth,4.2,6,,What’s something no one knows about you?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0069,explore,truth,4.2,6,,What’s something you pretend to like but actually hate?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0070,explore,truth,4.2,6,,What’s a lie you’ve told your best friend?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0071,explore,truth,4.2,6,,What age did you act the most chaotic?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0072,explore,truth,4.2,6,,What superstitions do you believe in?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0073,explore,truth,4.2,6,,What’s something you’ve always wanted to do but never have?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0074,explore,dare,4.5,7,,Do you have a guiding quote or principle you live by?,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0075,explore,truth,5.0,8,,What’s the best kiss you’ve ever had?,1,True,flirty,single,none,none,0,cognitive,truth,,any,2,99,2
ORB0076,explore,truth,5.0,8,,What’s the worst kiss you’ve ever had?,1,True,flirty,single,none,none,0,cognitive,truth,,any,2,99,2
ORB0077,explore,truth,5.0,8,,Who here do you think is the best kisser?,1,True,flirty,single,none,none,0,cognitive,truth,,any,2,99,2
ORB0078,explore,truth,4.2,6,,What’s something I do that annoys you?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0079,explore,truth,4.2,6,,What first name do you think is hot?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0080,explore,truth,4.2,6,,What’s the worst thing you’ve ever done?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0081,explore,dare,4.5,7,,Do you think height really matters?,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0082,explore,truth,4.2,6,,"If someone offered you $1,000,000 to break up with your partner, would you take the money or stay together?",1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0083,explore,truth,4.2,6,,What’s your favorite curse word?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0084,explore,truth,4.7,8,,What is the biggest secret you’re still hiding from your parents?,1,True,flirty,single,none,none,0,cognitive,truth,,any,2,99,2
ORB0085,explore,truth,4.2,6,,"If you had to marry one person in this room on the spot, who would you choose?",1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0086,explore,truth,4.2,6,,Do you still have feelings for any of your exes?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0087,explore,truth,4.2,6,,Why did your last relationship come to an end?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0088,explore,truth,4.2,6,,Have you ever had a holiday fling?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0089,explore,truth,4.2,6,,What is the biggest lie you’ve ever told?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0090,explore,truth,4.2,6,,Who are you most jealous of?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0091,explore,truth,4.2,6,,Have you ever had a fling?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0092,explore,truth,4.2,6,,What’s your favorite part of your life?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0093,explore,truth,5.0,8,,"If you had to kiss one person in this room, who would it be?",1,True,flirty,single,none,none,0,cognitive,truth,,any,2,99,2
ORB0094,explore,truth,4.2,6,,Which of your exes would you consider getting back together with?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0095,explore,truth,5.0,8,,What was your first kiss like?,1,True,flirty,single,none,none,0,cognitive,truth,,any,2,99,2
ORB0096,explore,truth,4.2,6,,What do you think is the most romantic gesture?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0097,explore,truth,4.2,6,,Would you ever visit a nudist beach?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0098,explore,truth,4.2,6,,What’s the most petty reason why you’ve ended a relationship?,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0099,explore,dare,5.3,9,,Swap shirts  or tops with the person to your right.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0100,explore,dare,4.5,7,,Do a cartwheel.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0101,explore,dare,4.5,7,,Draw a portrait of someone here.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0102,explore,dare,4.5,7,,Tell a joke.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0103,explore,truth,4.2,6,,Explain a movie without using the title.,1,True,personal,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0104,explore,dare,4.5,7,,Reenact a famous scene in a television show.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0105,explore,dare,4.5,7,,Blow bubbles with your drink.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0106,explore,dare,4.5,7,,Attempt to juggle 3 objects in the room.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0107,explore,dare,4.5,7,,Try to crack an egg using one hand.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0108,explore,dare,4.5,7,,React to the first five Instagram stories on your feed.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0109,explore,dare,4.5,7,,Critique every person in this room using a single word.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0110,explore,dare,4.5,7,,Narrate the game for the next round.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0111,explore,dare,4.5,7,,Spin in a circle ten times then walk to the other room.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0112,explore,dare,4.5,7,,Do a dramatic catwalk.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0113,explore,dare,4.5,7,,Do your best impersonation of a pirate.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0114,explore,dare,4.5,7,,Avoid saying “like” for the rest of the game.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0115,explore,dare,5.3,9,,Bite directly into a lemon.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0116,explore,dare,6.0,11,,Lick a bar of soap.,1,True,suggestive,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0117,explore,dare,4.5,7,,Eat a snack without using your hands.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0118,explore,dare,4.5,7,,Sing all your responses.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0119,explore,dare,4.5,7,,Keep your hands still behind your back.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0120,explore,dare,5.3,9,,Put on multiple pairs of pants at one time.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0121,explore,dare,4.5,7,,Do a magic trick.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0122,explore,dare,4.5,7,,Tell a lie at some point during the game.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0123,explore,dare,4.5,7,,Let the group look through your Instagram DMs.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0124,explore,dare,4.5,7,,Try and make yourself cry in front of the group.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0125,explore,dare,4.5,7,,Go outside and do your best wolf howl at the moon.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0126,explore,dare,4.5,7,,Plank for five whole minutes.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0127,explore,dare,4.5,7,,Eat a whole block of cheese.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0128,explore,dare,4.5,7,,Show us your screen time report.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0129,explore,dare,4.5,7,,Eat a raw onion like an apple.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0130,explore,dare,4.5,7,,Do an impression of another player until your next turn.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0131,explore,dare,4.5,7,,Yell out the first word that comes to your mind.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0132,explore,dare,4.5,7,,Keep your eyes closed until it’s your turn again.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0133,explore,dare,4.5,7,,Put your clothing on backwards for the rest of the evening.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0134,explore,dare,4.5,7,,Try not to laugh for the next 5 minutes.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0135,explore,dare,4.5,7,,Drink a liter of milk.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0136,explore,dare,4.5,7,,Do a livestream on your social media.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0137,explore,dare,4.5,7,,Give us all new nicknames.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0138,explore,dare,4.5,7,,Do another person’s hair.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0139,explore,dare,4.5,7,,Say something you’re scared to say.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0140,explore,dare,4.5,7,,Write a one-minute poem.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0141,explore,dare,4.5,7,,Show the room the last 3 people you searched for on Instagram.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0142,explore,dare,4.5,7,,Eat a teaspoon of hot sauce.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0143,explore,dare,4.5,7,,Show us everything inside your purse or bag.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0144,explore,dare,4.5,7,,"Stand up and sing ""My way"" at top volume.",1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0145,explore,dare,4.5,7,,Speak in a British accent until your next turn.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0146,explore,dare,4.5,7,,Do a sock puppet show.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0147,explore,dare,4.5,7,,Shower with your clothes on.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0148,explore,dare,4.5,7,,Do 30 pushups.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0149,explore,dare,4.5,7,,Give each player life advice you think they need.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0150,explore,dare,4.5,7,,Act like a baby.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0151,explore,dare,4.5,7,,Text someone lyrics to a song line by line.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0152,explore,dare,4.5,7,,Put lipstick on the person to your right.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0153,explore,dare,6.0,11,,Take off your socks with your teeth.,1,True,suggestive,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0154,explore,dare,4.5,7,,Move in slow motion.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0155,explore,dare,4.5,7,,Do the Macarena without music.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0156,explore,dare,6.0,11,,Give yourself a finger mustache.,1,True,suggestive,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0157,explore,dare,5.3,9,,Let someone in the room dress you for your next big event.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0158,explore,dare,5.3,9,,Dress as a character of the group’s choosing.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0159,explore,dare,4.5,7,,Act out a commercial for a product chosen by the other players.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0160,explore,dare,4.5,7,,Eat a spoonful of a condiment of your choice.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0161,explore,dare,4.5,7,,Eat a raw piece of garlic.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0162,explore,dare,4.5,7,,Let another player style your hair and leave it that way for the rest of the game.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0163,explore,dare,4.5,7,,Do a freestyle rap about the other players for one minute.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0164,explore,dare,4.5,7,,Show the weirdest item you have in your bag.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0165,explore,dare,4.5,7,,Try to drink a glass of water without using your hands.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0166,explore,dare,4.5,7,,Burp the alphabet.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0167,explore,dare,4.5,7,,Do five minutes of stand-up comedy.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0168,explore,dare,4.5,7,,Take a shot of tequila or another liquor of your choice.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0169,explore,dare,4.5,7,,Choose someone to do a shot with you.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0170,explore,dare,4.5,7,,Tell a dirty joke.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0171,explore,dare,4.5,7,,Pick a best friend.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0172,explore,dare,4.5,7,,Do a pretend pitch for a reality dating show.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0173,explore,dare,4.5,7,,Ask a stranger to rate you out of ten.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0174,explore,dare,5.0,8,,Text your crush.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0175,explore,dare,5.0,8,,Share someone’s secret without divulging their name.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0176,explore,dare,4.5,7,,Let another player post any photo they want to your Instagram story.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0177,explore,dare,4.5,7,,Do and post a TikTok dance of the group’s choosing.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0178,explore,dare,5.3,9,,Give a kissing demonstration with a pillow.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0179,spicy,dare,7.2,15,,Give one other player a back massage.,1,True,intimate,single,relative,player_choice,2,playful,dare,,any,2,99,3
ORB0180,explore,dare,4.5,7,,Share your most scandalous moment.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0181,explore,dare,4.5,7,,Show the most embarrassing photo on your phone.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0182,explore,dare,4.5,7,,Read out the last 10 things on your search history.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0183,explore,dare,4.5,7,,Insult everyone in the room.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0184,explore,dare,4.5,7,,Serenade the person to your right.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0185,explore,dare,5.3,9,,Give a foot massage to the person on your left.,1,True,flirty,single,relative,player_choice,2,playful,dare,,any,2,99,2
ORB0186,spicy,dare,7.0,14,,Have you ever had a one-night stand?,1,True,intimate,single,relative,player_choice,2,playful,dare,,any,2,99,3
ORB0187,spicy,truth,7.0,14,,How old were you when you lost your virginity?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
ORB0188,spicy,truth,7.0,14,,What’s your favorite position in bed?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
ORB0189,spicy,truth,7.0,14,,Have you ever been caught in the act?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
ORB0190,spicy,truth,7.0,14,,Have you ever had a crush on a teacher or boss?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
ORB0191,spicy,truth,7.0,14,,What’s your favorite part of your partner’s body?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
ORB0192,spicy,truth,7.0,14,,What’s your opinion on open relationships?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
ORB0193,spicy,truth,7.0,14,,What’s your favorite spot to be kissed?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
ORB0194,extreme,truth,9.0,20,,Have you ever used food during foreplay?,1,True,taboo,single,none,none,0,cognitive,truth,,any,2,99,4
ORB0195,extreme,truth,9.0,20,,Do you enjoy using lubricants?,1,True,taboo,single,none,none,0,cognitive,truth,,any,2,99,4
ORB0196,extreme,truth,9.0,20,,Have you ever tried BDSM?,1,True,taboo,single,none,none,0,cognitive,truth,,any,2,99,4
ORB0197,spicy,truth,7.0,14,,What’s the most rounds you’ve gone in one night?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
ORB0198,spicy,truth,7.0,14,,Have you ever been turned on by someone unexpected?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
ORB0199,extreme,truth,9.0,20,,What’s the most awkward position you’ve tried?,1,True,taboo,single,none,none,0,cognitive,truth,,any,2,99,4
ORB0200,spicy,truth,7.0,14,,Have you ever had a crush on a friend’s sibling?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
ORB0201,spicy,truth,7.0,14,,What’s the most sensual massage you’ve ever had?,1,True,intimate,single,none,none,0,cognitive,truth,,any,2,99,3
