curated_id,orb_id,Type,Prompt Text,Intensity_curated,Stage_curated,Tier_manual,focus_type,target_style,target_method,interaction_level,energy_type,cooldown_group,target_gender,min_players,max_players,escalation_weight
CPL0016,ORB1450,dare,Tell your partner one thing you love about them every minute for the next 5 minutes.,2.6,playful,soft,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0017,ORB1592,dare,Give your partner a compliment you’ve never said before.,2.6,playful,soft,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0018,ORB1603,dare,Record a voice message singing a love song and send it to your partner.,2.6,playful,soft,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0019,ORB0191,truth,What’s your favorite part of your partner’s body?,3.0,playful,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0020,ORB0358,dare,Try role-playing as your favorite characters.,3.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,2
CPL0021,ORB0712,dare,Role-play your favorite fantasy with your partner.,3.0,playful,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0022,ORB0726,dare,Share your favorite sex scene from a movie with your partner.,3.0,playful,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0023,ORB0749,dare,Share your favorite sexual memory with your partner.,3.0,playful,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0024,ORB0754,dare,Take a picture of your favorite body part and send it to your partner.,3.0,playful,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0025,ORB0761,dare,Share your favorite sexy song and listen to it together.,3.0,playful,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0026,ORB0771,dare,Act out your favorite sexual fantasy.,3.0,playful,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0027,ORB0774,dare,Share your favorite sexual memory.,3.0,playful,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0028,ORB0806,dare,Reenact your favorite intimate scene from a movie.,3.0,playful,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0029,ORB2008,dare,Share your favorite sexy dream.,3.0,playful,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0030,ORB2048,dare,Dance together to your favorite sexy song.,3.0,playful,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0031,ORB2065,dare,Dance provocatively to your favorite romantic song.,3.0,playful,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0032,ORB1119,truth,Would you lie to your partner to make them feel better?,3.1,personal,soft,single,none,none,0,cognitive,truth,any,2,99,1
CPL0033,ORB1835,truth,Do you enjoy being teased or do you prefer teasing your partner?,3.5,personal,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0034,ORB0082,truth,"If someone offered you $1,000,000 to break up with your partner, would you take the money or stay together?",4.2,personal,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0035,ORB0299,truth,What cartoon character most reminds you of your partner?,4.2,personal,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0036,ORB1479,truth,"If someone offered you $10 million to break up with your partner, would you do it?",4.2,personal,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0037,ORB1448,dare,Ask your partner what their ideal date would be.,4.5,flirty,soft,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0038,ORB1439,dare,Send a loving text to your partner or crush.,4.5,flirty,soft,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0039,ORB0349,dare,Choose to be a character from a movie and act out a scene.,4.5,personal,explore,single,relative,player_choice,2,playful,dare,any,2,99,2
CPL0040,ORB1449,dare,Reenact your first date with your partner.,4.5,flirty,explore,single,relative,player_choice,2,playful,dare,any,2,99,2
CPL0041,ORB0416,dare,Kiss your favorite part of your partner’s body.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0042,ORB2032,dare,Give your partner a passionate kiss with their favorite flavor chapstick.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0043,ORB1909,truth,What's the best way to flirt with your partner?,5.5,flirty,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0044,ORB1963,dare,Compliment each part of your partner’s body.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0045,ORB0348,dare,Send a flirty audio message to your partner.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0046,ORB1971,dare,Sit on your partner's lap without touching them.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0047,ORB1982,dare,Send a flirty video to your partner.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0048,ORB2001,dare,Send a flirtatious video to your partner.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0049,ORB2006,dare,Send a flirty voice message to your partner.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0050,ORB2013,dare,Send a flirty text to your partner.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0051,ORB2034,dare,Send your partner a flirty postcard while they’re away.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0052,ORB2044,dare,Kiss your partner’s hands seductively.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0053,ORB2047,dare,Send a flirty text to your partner while they are at work.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0054,ORB2054,dare,Send a flirty video message to your partner.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0055,ORB2058,dare,"Record a playful, flirty video for your partner.",5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0056,ORB1933,dare,Give your partner a lap dance.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0057,ORB1951,dare,Suck on your partner's fingers seductively.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0058,ORB1953,dare,Plan a surprise sexy date night.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0059,ORB1966,dare,Send your partner a sexy photo while they're away.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0060,ORB1998,dare,Send your partner a sexy message while they are at work.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0061,ORB2005,dare,Send your partner a sexy video message.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0062,ORB2020,dare,Send a sexy picture to your partner.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0063,ORB2021,dare,Perform a lap dance for your partner.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0064,ORB2045,dare,Send a sexy love letter to your partner.,5.5,flirty,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0065,ORB0665,dare,Send a sexy message to your partner in public.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0066,ORB0674,dare,Send a sexy video to your partner.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0067,ORB0684,dare,Play a sexy version of hide and seek.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0068,ORB0686,dare,Give your partner a sexy nickname.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0069,ORB0718,dare,Send your partner a sexy text while they are in the same room as you.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0070,ORB0723,dare,Dance with your partner in the nude.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0071,ORB0725,dare,Lip-sync to a sexy song while performing a striptease.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0072,ORB0737,dare,Play a sexy scavenger hunt around the house.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0073,ORB0741,dare,Make eye contact while passionately making out.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0074,ORB0781,dare,Role-play a sexy scenario with your partner.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0075,ORB0811,dare,Give your partner a seductive massage with warm oils.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0076,ORB0823,dare,Slow dance naked with your partner.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0077,ORB0871,dare,Record a sexy voice message for your partner.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0078,ORB0872,dare,Share a sexy memory from your past.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0079,ORB0685,dare,Whisper sexy compliments to your partner.,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0080,ORB0814,dare,Dress up in sexy lingerie,5.5,flirty,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0081,ORB0030,dare,Hold hands until the next round begins.,6.5,intimate,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0082,ORB0033,dare,Rest your head on your partner’s shoulder for a moment.,6.5,intimate,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0083,ORB0031,dare,Whisper something kind to your partner.,6.5,intimate,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0084,ORB0034,dare,Give your partner a quick cheek kiss.,6.5,intimate,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0085,ORB1957,dare,Write a dirty message on your partner's mirror with lipstick.,6.5,suggestive,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0086,ORB2014,dare,Share your naughtiest dream with your partner.,6.5,suggestive,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0087,ORB2018,dare,Share an intimate fantasy.,6.5,suggestive,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0088,ORB2038,dare,Write a dirty message and leave it in your partner’s wallet or bag.,6.5,suggestive,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0089,ORB2040,dare,Seduce your partner with a sultry look.,6.5,suggestive,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0090,ORB2060,dare,Write an erotic fantasy and share it with your partner.,6.5,suggestive,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0091,ORB1999,dare,Make out passionately like it’s your first time together.,6.5,suggestive,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0092,ORB2003,dare,Spend the day without wearing underwear.,6.5,suggestive,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0093,ORB2004,dare,Spend the night in just your underwear.,6.5,suggestive,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0094,ORB2022,dare,Surprise your partner with breakfast in bed while wearing lingerie.,6.5,suggestive,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0095,ORB0353,dare,Go skinny dipping.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0096,ORB0646,dare,Make out with your partner for five minutes straight.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0097,ORB0683,dare,Perform a sensual dance while wearing nothing but lingerie.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0098,ORB0731,dare,Walk around the house in just your underwear.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0099,ORB0748,dare,Whisper your naughtiest thoughts to your partner.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0100,ORB0767,dare,Spend a day without wearing underwear.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0101,ORB0768,dare,Make out for five full minutes.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0102,ORB0783,dare,Make out passionately for ten minutes.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0103,ORB0827,dare,Share your most intimate fantasy and make it come true.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0104,ORB0837,dare,Spend an even exploring your partner’s erogenous zones.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0105,ORB0874,dare,Act out a role-play scenario involving a forbidden fantasy.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0106,ORB0643,dare,Share a sexual fantasy with your partner and show one person of the group.,6.5,suggestive,extreme,single,relative,player_choice,2,playful,dare,any,2,99,4
CPL0107,ORB0218,truth,Do you enjoy getting massages from your partner?,7.0,intimate,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0108,ORB0314,truth,"On a scale of one to ten, how would you rate your partner's kissing skills?",7.0,intimate,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0109,ORB0330,dare,Send a naughty text to your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0110,ORB0331,dare,Send a sensual voice note to your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0111,ORB0332,dare,Write a naughty note and slip it into your partner's pocket.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0112,ORB0337,dare,Nibble on your partner's ear.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0113,ORB0339,dare,Write an erotic poem for your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0114,ORB0340,dare,Create a sensual playlist and listen to it together.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0115,ORB0341,dare,Try a role-play scenario where you are strangers meeting for the first time.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0116,ORB0342,dare,Let your partner choose your outfit for the evening.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0117,ORB0347,dare,Let your partner take control for the entire night.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0118,ORB0356,dare,Try a role-playing scenario you’ve never done before.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0119,ORB0359,dare,Take a sensual bath with your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0120,ORB1127,dare,Try role-playing with your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0121,ORB1131,dare,Try using a feather to tickle and tease your partner’s body.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0122,ORB1189,truth,What body part of your partner do you like the most?,7.0,intimate,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0123,ORB1550,dare,Eat a grape from your wife's mouth.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0124,ORB1569,dare,Give an erotic message to your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0125,ORB1570,dare,Guess which part of your partner’s body you are touching while being blindfolded.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0126,ORB1574,dare,Touch your partner’s waist slowly.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0127,ORB1726,truth,Do you ever watch porn together with your partner?,7.0,intimate,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0128,ORB1812,truth,Do you enjoy swapping fantasies with your partner?,7.0,intimate,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0129,ORB1870,truth,Do you enjoy sharing intimate moments with your partner in public?,7.0,intimate,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0130,ORB1877,truth,Do you enjoy exploring each other's bodies with your partner?,7.0,intimate,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0131,ORB1890,truth,Do you enjoy being intimately close with your partner in public?,7.0,intimate,spicy,single,none,none,0,cognitive,truth,any,2,99,3
CPL0132,ORB1938,dare,Flash your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0133,ORB1939,dare,Send a risque photo to your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0134,ORB1945,dare,Write a dirty story about your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0135,ORB1946,dare,Spend the night without touching each other.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0136,ORB1949,dare,Let your partner pick out an outfit for you.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0137,ORB1954,dare,Use a feather to tease your partner's body.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0138,ORB1955,dare,Suck on your partner’s earlobe.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0139,ORB1956,dare,Tie your partner’s hands behind their back and tease them.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0140,ORB1959,dare,Caress your partner’s inner thighs.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0141,ORB1961,dare,Act out an intimate scene from a movie.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0142,ORB1962,dare,Use a silk scarf to tie your partner’s hands.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0143,ORB1965,dare,Send a dirty text to your partner while they are at work.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0144,ORB1968,dare,Record a sensual voice message for your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0145,ORB1969,dare,Write an erotic love letter to your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0146,ORB1970,dare,Send a suggestive message using only emojis.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0147,ORB1972,dare,Try role-playing a teacher/student scenario.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0148,ORB1973,dare,Make a list of things you want to try in bed and discuss them with your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0149,ORB1978,dare,Touch yourself while your partner watches.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0150,ORB1979,dare,Spend the next hour only communicating through sensual touching.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0151,ORB1980,dare,Tease each other with a feather.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0152,ORB1981,dare,Make your partner a sensual breakfast and eat it in bed.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0153,ORB1987,dare,Use a silk scarf to blindfold your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0154,ORB1988,dare,Tease your partner until they beg for more.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0155,ORB1989,dare,Spend the next hour only using your mouths to touch each other.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0156,ORB1992,dare,Have a ‘clothing optional’ day in the house.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0157,ORB1996,dare,Put on a blindfold and let your partner touch you wherever they want.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0158,ORB2002,dare,Write down three dirty secrets and share them with your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0159,ORB2007,dare,Spend the day without wearing anything under your clothes.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0160,ORB2009,dare,Make a list of things you want to try in the bedroom.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0161,ORB2016,dare,Send a dirty text to your partner while they’re at work.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0162,ORB2019,dare,Use a feather to tease your partner’s body.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0163,ORB2023,dare,Reinvent an intimate scene from a movie.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0164,ORB2024,dare,Share a dirty secret with your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0165,ORB2027,dare,Write a sensual poem for your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0166,ORB2028,dare,Exchange erotic stories.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0167,ORB2030,dare,Play a sensual game of hide and seek.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0168,ORB2031,dare,Spend the day wearing nothing under your clothes.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0169,ORB2035,dare,Touch each other while watching a romantic movie.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0170,ORB2036,dare,Send a provocative text to your partner while they are out with friends.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0171,ORB2037,dare,Create a sensual bucket list and start checking things off.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0172,ORB2039,dare,Swap dirty stories while lying in bed.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0173,ORB2041,dare,Engage in intimate conversation in public without anyone suspecting.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0174,ORB2042,dare,Tease your partner with light touches while watching TV.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0175,ORB2046,dare,Try a new role-playing scenario.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0176,ORB2050,dare,Write your erotic fantasies and read them to each other.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0177,ORB2051,dare,Create a sensual playlist and listen to it while touching each other.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0178,ORB2052,dare,Send a dirty selfie to your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0179,ORB2056,dare,Write a dirty limerick about your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0180,ORB2057,dare,Share your most intimate secret.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0181,ORB2061,dare,Use a soft brush to trace patterns on your partner’s skin.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0182,ORB2063,dare,Spend an evening experimenting with edging techniques.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0183,ORB2064,dare,Write down three new things you want to try in the bedroom.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0184,ORB2067,dare,Send a steamy text to your partner while they are in the same room.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0185,ORB2069,dare,Spend an hour exploring your partner’s body with light touches.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0186,ORB2071,dare,Make a list of new things you want to try in the bedroom and share it with each other.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0187,ORB2072,dare,"Engage in a slow, sensual make-out session.",7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0188,ORB2073,dare,Send a suggestive emoji to the person on your left,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0189,ORB2074,dare,Write a steamy letter to your partner.,7.0,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0190,ORB0333,dare,Kiss every part of your partner's body.,7.2,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0191,ORB0345,dare,Kiss various parts of your partner’s body without using your hands.,7.2,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0192,ORB0357,dare,Whisper dirty talk into your partner’s ear in public.,7.2,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0193,ORB0418,dare,Remove your boyfriend’s shirt only using your teeth.,7.2,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0194,ORB0419,dare,Kiss your partner’s thighs.,7.2,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0195,ORB0424,dare,Give your partner a forehead kiss.,7.2,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0196,ORB0425,dare,Whisper something romantic in your partner’s ear.,7.2,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0197,ORB1935,dare,Whisper something dirty into your partner's ear.,7.2,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
CPL0198,ORB1950,dare,Whisper something dirty to a player,7.2,intimate,spicy,single,relative,player_choice,2,playful,dare,any,2,99,3
