curated_id,orb_id,Type,Prompt Text,Intensity_curated,Stage_curated,Tier_manual,focus_type,target_style,target_method,interaction_level,energy_type,cooldown_group,target_gender,min_players,max_players,escalation_weight
GRP0015,ORB0035,truth,What kind of personality do you usually feel drawn to?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0016,ORB0036,truth,Do you prefer deep conversations or light ones at parties?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0017,ORB0037,truth,What makes someone instantly likable to you?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0018,ORB0038,truth,What’s a small romantic gesture you appreciate?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0019,ORB0041,dare,Give the group your most charming smile.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0020,ORB0042,dare,Say hello to everyone like you're hosting a fancy party.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0021,ORB0043,dare,Describe the room dramatically like a storyteller.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0022,ORB0009,truth,Who in this room seems the most adventurous?,2.1,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0023,ORB0010,truth,What’s something you wish people noticed about you more?,2.1,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0024,ORB0017,dare,Give someone a playful nickname for the rest of the round.,2.1,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0025,ORB0018,dare,Imitate a movie character flirting.,2.1,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0026,ORB0040,truth,What’s your idea of a perfect relaxed evening?,2.1,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0027,ORB0044,dare,Do a confident model turn and pose.,2.1,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0028,ORB0045,dare,Say one nice thing about the person to your right.,2.1,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0029,ORB0046,dare,Give the room a mini motivational speech.,2.1,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0030,ORB0974,truth,What is the weirdest thing you’ve ever googled?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0031,ORB0978,truth,What’s your best trick?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0032,ORB0979,truth,Where do you want to go on vacation?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0033,ORB0980,truth,What would you do if there were no rules?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0034,ORB0981,truth,Can you speak another language?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0035,ORB0982,truth,What position do you sleep in?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0036,ORB0983,truth,What’s your favorite song to dance to?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0037,ORB0984,truth,What’s your favorite thing to cook?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0038,ORB0985,truth,What’s your favorite time of year?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0039,ORB0987,truth,How often do you wash your sheets?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0040,ORB0988,truth,What movie is your guilty pleasure?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0041,ORB0989,truth,What objectively terrible song do you love to listen to?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0042,ORB0990,truth,What’s one of the most overrated bands/performers of all time?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0043,ORB0992,truth,"If you could do any job in the world, what would it be?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0044,ORB0994,truth,What is your favorite book of all time?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0045,ORB0996,truth,"If you could choose a new name, what would you pick?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0046,ORB0997,truth,What’s the last thing you Googled?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0047,ORB0998,truth,What app do you spend the most time on?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0048,ORB0999,truth,Who in this group would you want to swap lives with for a week?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0049,ORB1000,truth,What’s the one big ticket item you can’t live without?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0050,ORB1001,truth,Which rom-com character do you want to swap lives with?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0051,ORB1002,truth,Which reptile would you least want to be locked in a room with?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0052,ORB1004,truth,What’s the wildest meal you’ve ever eaten?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0053,ORB1005,truth,"If you could choose anyone in the world to be president, who would it be?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0054,ORB1006,truth,What’s the weirdest thing you’ve been called?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0055,ORB1007,truth,What television show is your go-to comfort watch?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0056,ORB1008,truth,What are you thinking about right now?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0057,ORB1009,truth,What was the scariest moment of your life?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0058,ORB1010,truth,What law do you wish didn’t exist?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0059,ORB1011,truth,What law do you wish did exist?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0060,ORB1012,truth,What makes you truly happy?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0061,ORB1013,truth,Who understands you the best?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0062,ORB1014,truth,What’s your theme song?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0063,ORB1016,truth,Would you ever get plastic surgery?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0064,ORB1018,truth,What’s your biggest insecurity?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0065,ORB1020,truth,What’s something that overwhelms you?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0066,ORB1022,truth,What was the greatest day of your life?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0067,ORB1023,truth,What word do you hate the most?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0068,ORB1027,truth,Who annoys you most in your life?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0069,ORB1029,truth,What do you really think when people call their pets their kids?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0070,ORB1030,truth,What’s a crime you would commit if you knew you’d never get caught?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0071,ORB1031,truth,What’s your least favorite part of your day-to-day?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0072,ORB1032,truth,What makes your heart race?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0073,ORB1033,truth,What’s your emotional support item?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0074,ORB1035,truth,Who is the ‘one that got away?’,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0075,ORB1037,truth,What’s the worst thing you’ve ever said to anyone?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0076,ORB1039,truth,"If you had to give up speaking to one person in your life, who would it be?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0077,ORB1041,truth,Have you ever called out sick of work to go on a trip?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0078,ORB1043,truth,Name the hypothetical title of your memoir.,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0079,ORB1044,truth,Explain a book without using the title.,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0080,ORB1045,truth,Read your last 3 Google searches out loud to the room.,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0081,ORB1079,truth,What’s the dirtiest thought you’ve ever had about a total stranger?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0082,ORB1085,truth,What’s your favorite part of your body?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0083,ORB1087,truth,Have you ever been caught skinny-dipping?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0084,ORB1088,truth,Have you ever changed your appearance to attract someone?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0085,ORB1090,truth,What’s the most people you’ve hooked up with in a group?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0086,ORB1091,truth,Have you ever fallen for someone just by their looks?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0087,ORB1094,truth,Do you enjoy trying new things in the bedroom?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0088,ORB1095,truth,What's the most risqué text you've received?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0089,ORB1097,truth,Do you enjoy sharing intimate moments with friends?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0090,ORB1098,truth,What's the most risqué thing you've done to catch someone's eye?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0091,ORB1102,truth,Do you have a type?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0092,ORB1103,truth,What gives you 'the ick'?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0093,ORB1105,truth,What's the worst pick up line anyone's ever used on you?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0094,ORB1107,truth,What's the shortest length of time you've been single for?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0095,ORB1108,truth,What's the longest you've ever been single?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0096,ORB1110,truth,What's your best pick up line?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0097,ORB1111,truth,Have you ever had an unrequited love?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0098,ORB1113,truth,When's the right time for a couple to get married?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0099,ORB1114,truth,What was your first impression of me?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0100,ORB1116,truth,When was the last time someone made you blush?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0101,ORB1118,truth,Who's number one on your 'list'?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0102,ORB1120,truth,Have you ever hooked up with an ex while drunk?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0103,ORB1121,truth,What's the hottest thing someone has ever said to you?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0104,ORB1122,truth,Have you ever found a fictional character weirdly hot?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0105,ORB1123,truth,What's your best dirty joke?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0106,ORB1124,truth,Do you read dirty novels?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0107,ORB1125,truth,Have you ever written a fanfic online?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0108,ORB1135,truth,Have you tried watersports?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0109,ORB1148,truth,What part of a person do you like the most?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0110,ORB1150,truth,What’s something you’ve done that made you blush?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0111,ORB1151,truth,What’s the wildest dream you’ve had?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0112,ORB1154,truth,Have you ever liked two people at the same time?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0113,ORB1155,truth,What’s your favorite kind of hug?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0114,ORB1158,truth,Do you enjoy cuddling in bed?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0115,ORB1160,truth,Have you ever told someone you liked them and they said no?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0116,ORB1162,truth,What outfit makes you feel hottest?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0117,ORB1178,truth,What song makes you feel romantic?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0118,ORB1181,truth,What’s your favorite love movie?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0119,ORB1186,truth,What makes you blush instantly?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0120,ORB1194,truth,"If your life were a comedy movie, what would the title be?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0121,ORB1195,truth,Have you ever laughed so hard you snorted?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0122,ORB1196,truth,What’s the most ridiculous excuse you’ve ever given for being late?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0123,ORB1197,truth,"If you had to swap voices with someone for a day, who would it be?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0124,ORB1198,truth,What’s a food you love that everyone else seems to hate?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0125,ORB1199,truth,"Have you ever tried talking to an animal, expecting a reply?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0126,ORB1200,truth,What’s the worst haircut you’ve ever had?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0127,ORB1201,truth,Have you ever been caught talking to yourself?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0128,ORB1202,truth,What’s the funniest autocorrect fail you’ve sent?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0129,ORB1204,truth,Have you ever fallen asleep in a public place? Where?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0130,ORB1205,truth,What’s the strangest nickname you’ve ever had?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0131,ORB1207,truth,What’s the weirdest thing you’ve ever Googled?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0132,ORB1209,truth,What’s the funniest thing you’ve seen a person do?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0133,ORB1210,truth,"If you had to wear the same outfit every day for a year, what would it be?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0134,ORB1211,truth,What’s the weirdest item you’ve ever bought online?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0135,ORB1212,truth,What’s the funniest text message you’ve ever received?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0136,ORB1213,truth,What's your oftenly used swear word?​,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0137,ORB1214,truth,What's the most childish habit you still have?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0138,ORB1215,truth,What's the funniest joke you have ever heard?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0139,ORB1216,truth,Have you ever walked into the wrong washroom?​,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0140,ORB1217,truth,What's the strangest rumor you have ever heard about yourself?​,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0141,ORB1218,truth,"If you could only speak in rhymes for a day, how would you introduce yourself?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0142,ORB1219,truth,What’s the weirdest thing you’ve ever found on the internet?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0143,ORB1220,truth,Have you ever worn mismatched socks on purpose?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0144,ORB1221,truth,"If you had to rename yourself, what would it be?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0145,ORB1222,truth,What’s something you’re really bad at but wish you were great at?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0146,ORB1223,truth,"If you had to survive on only one type of candy, which one would it be?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0147,ORB1224,truth,Have you ever tried to hypnotize someone?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0148,ORB1226,truth,Have you ever eaten something you found on the floor?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0149,ORB1227,truth,What’s the most useless talent you have?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0150,ORB1228,truth,Have you ever thought you saw something but it was just your imagination?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0151,ORB1229,truth,What’s the oddest thing you’ve done to pass the time?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0152,ORB1230,truth,What’s the most bizarre food combination you’ve ever tried?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0153,ORB1231,truth,"If you could live in any fictional world, which one would it be?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0154,ORB1232,truth,What’s the strangest thing you’ve ever dreamed about?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0155,ORB1233,truth,Have you ever tried to talk to a pet like they understand?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0156,ORB1234,truth,Have you ever eaten something just because you saw it on TV?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0157,ORB1235,truth,What’s the weirdest habit you have?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0158,ORB1236,truth,What’s the funniest thing you’ve done when no one was watching?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0159,ORB1237,truth,Tell the weirdest thing/dish you've ever eaten?​,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0160,ORB1238,truth,Have you ever re-worn dirty/smelling socks?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0161,ORB1240,truth,What's the most petty reason you've ended a relationship?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0162,ORB1241,truth,What was the weirdest thing you have find while snooping through someone's phone?​,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0163,ORB1243,truth,Have you ever been caught lying?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0164,ORB1244,truth,Have you ever done something risky just to impress someone?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0165,ORB1245,truth,What’s the most rebellious thing you did as a teenager?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0166,ORB1246,truth,Have you ever snuck out of the house?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0167,ORB1249,truth,"If you had to break one rule today, what would it be?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0168,ORB1250,truth,What’s something you’ve done that you’d never admit to your parents?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0169,ORB1251,truth,Have you ever pretended not to know something just to avoid work?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0170,ORB1253,truth,What’s the biggest risk you’ve ever taken?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0171,ORB1254,truth,"Have you ever stolen something small, like candy?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0172,ORB1255,truth,Have you ever skipped school or work to hang out with friends?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0173,ORB1257,truth,Have you ever snuck food into a movie theater?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0174,ORB1258,truth,Have you ever sent a message by accident to the wrong person?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0175,ORB1260,truth,Have you ever pranked someone? What did you do?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0176,ORB1261,truth,What’s something you’ve done that no one else knows about?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0177,ORB1262,truth,Have you ever broken something at someone else’s house and not told them?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0178,ORB1265,truth,Have you ever sneaked out of the house at night?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0179,ORB1266,truth,What’s the best late-night adventure you’ve been on?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0180,ORB1267,truth,Have you ever stayed up all night talking to someone?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0181,ORB1270,truth,Have you ever done something silly late at night?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0182,ORB1272,truth,What’s your idea of a perfect night out?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0183,ORB1273,truth,Have you ever gotten into trouble during the night?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0184,ORB1274,truth,What's the scariest thing that has been ever happened to you?​,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0185,ORB1275,truth,Have you ever felt any paranormal activity?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0186,ORB1276,truth,Have you ever walked while sleeping?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0187,ORB1277,truth,What's your worst nightmare?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0188,ORB1278,truth,what’s the most romantic thing you’ve ever done for someone?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0189,ORB1279,truth,"Who was your first love, and what made them special?",2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0190,ORB1280,truth,Have you ever fallen in love too quickly?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0191,ORB1282,truth,What’s something you love about yourself?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0192,ORB1283,truth,Have you ever written a love letter to someone?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0193,ORB1285,truth,What’s the most romantic thing someone has done for you?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0194,ORB1286,truth,What do you think is the most important thing in a relationship?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0195,ORB1287,truth,What's the most romantic gesture you've ever done?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0196,ORB1288,truth,Have you ever fallen in love at first sight?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0197,ORB1289,truth,What's the most thoughtful gift you've given a partner?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0198,ORB1290,truth,What’s the most mischievous thing you’ve ever done?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0199,ORB1292,truth,What’s the craziest thing you’ve done in a relationship?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0200,ORB1299,truth,What’s something naughty you’ve wanted to try but haven’t?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0201,ORB1329,truth,Have you ever fallen for a friend’s partner?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0202,ORB1331,truth,What’s the most shocking thing you’ve ever overheard?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0203,ORB1332,truth,Have you ever made the first move in a relationship?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0204,ORB1333,truth,What’s the most romantic thing you’ve done for someone?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0205,ORB1337,truth,How long was your first smooch?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0206,ORB1339,truth,Have you ever fallen in love with someone you met online?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0207,ORB1341,truth,Have you ever had a workplace romance?,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0208,ORB1344,truth,Act like a dramatic soap opera character for two minutes.,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
GRP0209,ORB1345,truth,Dance like nobody’s watching (but we all are).,2.4,playful,soft,single,none,none,0,cognitive,truth,any,2,99,1
